numero,file_url,file_txt
60,http://contratos.gastosabertos.org/files/contrato-60.pdf,http://contratos.gastosabertos.org/files/contrato-60.txt
61,http://contratos.gastosabertos.org/files/contrato-61.pdf,http://contratos.gastosabertos.org/files/contrato-61.txt
62,http://contratos.gastosabertos.org/files/contrato-62.pdf,http://contratos.gastosabertos.org/files/contrato-62.txt
63,http://contratos.gastosabertos.org/files/contrato-63.pdf,http://contratos.gastosabertos.org/files/contrato-63.txt
64,http://contratos.gastosabertos.org/files/contrato-64.doc,http://contratos.gastosabertos.org/files/contrato-64.txt
65,http://contratos.gastosabertos.org/files/contrato-65.pdf,
66,http://contratos.gastosabertos.org/files/contrato-66.doc,http://contratos.gastosabertos.org/files/contrato-66.txt
67,http://contratos.gastosabertos.org/files/contrato-67.pdf,http://contratos.gastosabertos.org/files/contrato-67.txt
68,http://contratos.gastosabertos.org/files/contrato-68.pdf,http://contratos.gastosabertos.org/files/contrato-68.txt
69,http://contratos.gastosabertos.org/files/contrato-69.pdf,http://contratos.gastosabertos.org/files/contrato-69.txt
70,http://contratos.gastosabertos.org/files/contrato-70.pdf,http://contratos.gastosabertos.org/files/contrato-70.txt
71,http://contratos.gastosabertos.org/files/contrato-71.pdf,http://contratos.gastosabertos.org/files/contrato-71.txt
72,http://contratos.gastosabertos.org/files/contrato-72.pdf,http://contratos.gastosabertos.org/files/contrato-72.txt
73,http://contratos.gastosabertos.org/files/contrato-73.pdf,http://contratos.gastosabertos.org/files/contrato-73.txt
74,http://contratos.gastosabertos.org/files/contrato-74.pdf,
75,http://contratos.gastosabertos.org/files/contrato-75.pdf,
76,http://contratos.gastosabertos.org/files/contrato-76.pdf,http://contratos.gastosabertos.org/files/contrato-76.txt
77,http://contratos.gastosabertos.org/files/contrato-77.tif,
78,http://contratos.gastosabertos.org/files/contrato-78.pdf,
79,http://contratos.gastosabertos.org/files/contrato-79.docx,http://contratos.gastosabertos.org/files/contrato-79.txt
80,http://contratos.gastosabertos.org/files/contrato-80.docx,http://contratos.gastosabertos.org/files/contrato-80.txt
81,http://contratos.gastosabertos.org/files/contrato-81.doc,http://contratos.gastosabertos.org/files/contrato-81.txt
82,http://contratos.gastosabertos.org/files/contrato-82.pdf,
83,http://contratos.gastosabertos.org/files/contrato-83.doc,http://contratos.gastosabertos.org/files/contrato-83.txt
84,http://contratos.gastosabertos.org/files/contrato-84.doc,http://contratos.gastosabertos.org/files/contrato-84.txt
85,,http://contratos.gastosabertos.org/files/contrato-85.txt
86,,http://contratos.gastosabertos.org/files/contrato-86.txt
87,http://contratos.gastosabertos.org/files/contrato-87.pdf,
88,http://contratos.gastosabertos.org/files/contrato-88.doc,http://contratos.gastosabertos.org/files/contrato-88.txt
89,http://contratos.gastosabertos.org/files/contrato-89.rtf,
90,http://contratos.gastosabertos.org/files/contrato-90.doc,http://contratos.gastosabertos.org/files/contrato-90.txt
91,http://contratos.gastosabertos.org/files/contrato-91.pdf,http://contratos.gastosabertos.org/files/contrato-91.txt
92,http://contratos.gastosabertos.org/files/contrato-92.pdf,http://contratos.gastosabertos.org/files/contrato-92.txt
93,http://contratos.gastosabertos.org/files/contrato-93.doc,http://contratos.gastosabertos.org/files/contrato-93.txt
94,http://contratos.gastosabertos.org/files/contrato-94.docx,http://contratos.gastosabertos.org/files/contrato-94.txt
95,http://contratos.gastosabertos.org/files/contrato-95.docx,http://contratos.gastosabertos.org/files/contrato-95.txt
96,http://contratos.gastosabertos.org/files/contrato-96.docx,http://contratos.gastosabertos.org/files/contrato-96.txt
97,http://contratos.gastosabertos.org/files/contrato-97.doc,http://contratos.gastosabertos.org/files/contrato-97.txt
98,http://contratos.gastosabertos.org/files/contrato-98.docx,http://contratos.gastosabertos.org/files/contrato-98.txt
99,http://contratos.gastosabertos.org/files/contrato-99.pdf,http://contratos.gastosabertos.org/files/contrato-99.txt
100,http://contratos.gastosabertos.org/files/contrato-100.docx,http://contratos.gastosabertos.org/files/contrato-100.txt
101,http://contratos.gastosabertos.org/files/contrato-101.doc,http://contratos.gastosabertos.org/files/contrato-101.txt
102,http://contratos.gastosabertos.org/files/contrato-102.docx,http://contratos.gastosabertos.org/files/contrato-102.txt
103,http://contratos.gastosabertos.org/files/contrato-103.docx,http://contratos.gastosabertos.org/files/contrato-103.txt
